municipality_code,score,investor,type,latitude,longitude,city_name_normalized,department_name,growth_population,salary_rent_ratio,price_volatility,real_estate_tension,touristic_attractiveness_index,housing_demand_index
94041,0.34,Low,Apartment,48.8128063812,2.38778023612,Ivry Sur Seine,Val-De-Marne,0.6,0.05,0.29,0.13,0.27,0.53
31555,0.55,Low,Apartment,43.5963814303,1.43167293364,Toulouse,Haute-Garonne,0.81,0.37,0.44,0.13,1.0,0.35
38185,0.42,Low,Apartment,45.1821215167,5.72133051752,Grenoble,Isère,0.49,0.27,0.75,0.22,0.72,0.25
33063,0.58,Low,Apartment,44.8572445351,-0.57369678116,Bordeaux,Gironde,0.86,0.27,0.52,0.3,0.94,0.52
33281,0.51,Low,Apartment,44.8322953289,-0.681733084891,Merignac,Gironde,0.99,0.16,0.4,0.22,0.53,0.37
62193,0.33,Low,Apartment,50.9502072754,1.87575566132,Calais,Pas-De-Calais,0.2,0.46,0.71,0.0,0.5,0.23
92050,0.26,Low,Apartment,48.8960701282,2.20671346353,Nanterre,Hauts-De-Seine,0.21,0.09,0.48,0.0,0.4,0.57
92051,0.36,Low,Apartment,48.8853719688,2.26642584746,Neuilly Sur Seine,Hauts-De-Seine,0.21,0.25,0.1,0.45,0.32,1.0
25056,0.45,Low,Apartment,47.2553872249,6.01948696494,Besancon,Doubs,0.69,0.27,0.75,0.0,0.73,0.18
06088,0.45,Low,Apartment,43.7119992661,7.23826889465,Nice,Alpes-Maritimes,0.53,0.1,0.33,0.58,1.0,0.48
44184,0.55,Low,Apartment,47.2802857028,-2.25379927249,Saint Nazaire,Loire-Atlantique,0.73,0.55,0.69,0.36,0.44,0.31
42218,0.37,Low,Apartment,45.4301235512,4.37913997076,Saint Etienne,Loire,0.52,0.31,0.69,0.0,0.67,0.0
73065,0.36,Low,Apartment,45.583182552,5.90903392417,Chambery,Savoie,0.43,0.12,0.79,0.13,0.66,0.29
93048,0.39,Low,Apartment,48.8633175054,2.44816211857,Montreuil,Seine-Saint-Denis,0.76,0.08,0.17,0.0,0.33,0.64
59350,0.48,Low,Apartment,50.6317183168,3.04783272312,Lille,Nord,0.57,0.41,0.46,0.13,0.88,0.41
51454,0.33,Low,Apartment,49.2514906066,4.0402302322,Reims,Marne,0.21,0.27,0.79,0.0,0.79,0.26
83137,0.47,Low,Apartment,43.1361589728,5.93239634249,Toulon,Var,0.84,0.22,0.58,0.13,0.48,0.27
44109,0.56,Low,Apartment,47.2316356767,-1.54831008605,Nantes,Loire-Atlantique,0.85,0.38,0.44,0.22,0.84,0.41
86194,0.5,Low,Apartment,46.5839207726,0.359947653003,Poitiers,Vienne,0.58,0.59,0.73,0.13,0.63,0.17
83126,0.39,Low,Apartment,43.0880294967,5.87089841754,Seyne Sur Mer,Var,0.43,0.24,0.6,0.49,0.44,0.32
94076,0.33,Low,Apartment,48.7928547268,2.36006103249,Villejuif,Val-De-Marne,0.52,0.06,0.75,0.0,0.0,0.52
92004,0.5,Low,Apartment,48.9153530123,2.2880384663,Asnieres Sur Seine,Hauts-De-Seine,0.82,0.28,0.48,0.13,0.24,0.67
95127,0.26,Low,Apartment,49.0401131567,2.05082123731,Cergy,Val-D'oise,0.19,0.13,0.67,0.13,0.39,0.32
93070,0.3,Low,Apartment,48.909806575,2.33257042205,Saint Ouen Sur Seine,Seine-Saint-Denis,0.4,0.21,0.13,0.0,0.23,0.64
06004,0.54,Low,Apartment,43.587465146,7.10635418256,Antibes,Alpes-Maritimes,0.61,0.25,0.46,0.92,0.79,0.51
2A004,0.43,Low,Apartment,41.9347926638,8.70132275974,Ajaccio,Corse-Du-Sud,0.63,0.07,0.54,0.49,0.61,0.42
72181,0.45,Low,Apartment,47.9885256718,0.200030493539,Mans,Sarthe,0.52,0.56,0.6,0.13,0.71,0.07
14118,0.47,Low,Apartment,49.1847936737,-0.369801713036,Caen,Calvados,0.6,0.34,0.79,0.13,0.72,0.26
10387,0.35,Low,Apartment,48.2967099637,4.07827967525,Troyes,Aube,0.37,0.25,0.79,0.22,0.59,0.09
64102,0.45,Low,Apartment,43.4922254016,-1.46607674358,Bayonne,Pyrénées-Atlantiques,0.68,0.15,0.6,0.22,0.57,0.44
29019,0.38,Low,Apartment,48.4004997828,-4.5027907853,Brest,Finistère,0.46,0.3,0.63,0.13,0.65,0.15
21231,0.48,Low,Apartment,47.3229437965,5.03788805877,Dijon,Côte-D'or,0.61,0.4,0.67,0.13,0.83,0.23
94046,0.42,Low,Apartment,48.8063923267,2.43818248906,Maisons Alfort,Val-De-Marne,0.71,0.19,0.69,0.0,0.06,0.58
37261,0.44,Low,Apartment,47.3986382281,0.696526376417,Tours,Indre-Et-Loire,0.53,0.28,0.79,0.13,0.78,0.27
59183,0.31,Low,Apartment,51.0307229078,2.33752414095,Dunkerque,Nord,0.17,0.38,0.69,0.13,0.58,0.16
49099,0.36,Low,Apartment,47.0454402992,-0.877886189605,Cholet,Maine-Et-Loire,0.3,0.54,0.75,0.0,0.43,0.12
94068,0.35,Low,Apartment,48.7990677797,2.49386450452,Saint Maur Des Fosses,Val-De-Marne,0.25,0.4,0.67,0.0,0.2,0.6
92024,0.43,Low,Apartment,48.9035359139,2.30575230452,Clichy,Hauts-De-Seine,0.69,0.33,0.15,0.13,0.2,0.66
74010,0.57,Low,Apartment,45.8906432566,6.12551773598,Annecy,Haute-Savoie,1.0,0.09,0.63,0.36,0.7,0.54
80021,0.45,Low,Apartment,49.9009532186,2.29007445539,Amiens,Somme,0.57,0.32,1.0,0.0,0.63,0.22
56121,0.34,Low,Apartment,47.7500486947,-3.37823200917,Lorient,Morbihan,0.47,0.13,0.77,0.13,0.4,0.21
13004,0.31,Low,Apartment,43.5468692378,4.66215642574,Arles,Bouches-Du-Rhône,0.03,0.31,0.75,0.13,0.91,0.29
92025,0.41,Low,Apartment,48.9225179147,2.24675160629,Colombes,Hauts-De-Seine,0.56,0.32,0.6,0.0,0.24,0.55
92012,0.44,Low,Apartment,48.8365843138,2.23913599058,Boulogne Billancourt,Hauts-De-Seine,0.45,0.38,0.04,0.3,0.52,0.81
92026,0.35,Low,Apartment,48.8984504771,2.25570587289,Courbevoie,Hauts-De-Seine,0.14,0.33,0.42,0.49,0.34,0.69
87085,0.34,Low,Apartment,45.8542549589,1.2487579024,Limoges,Haute-Vienne,0.24,0.49,0.6,0.13,0.59,0.08
84007,0.34,Low,Apartment,43.9352448339,4.84071572505,Avignon,Vaucluse,0.18,0.32,0.6,0.13,0.96,0.21
18033,0.4,Low,Apartment,47.0749572013,2.40417137557,Bourges,Cher,0.32,0.58,0.79,0.0,0.73,0.04
11262,0.49,Low,Apartment,43.1652399898,3.02023868739,Narbonne,Aude,0.46,0.49,0.77,0.65,0.64,0.14
83069,0.43,Low,Apartment,43.1018713534,6.18898508469,Hyeres,Var,0.24,0.27,0.58,0.8,0.81,0.42
49007,0.47,Low,Apartment,47.476837416,-0.556125995444,Angers,Maine-Et-Loire,0.66,0.29,0.81,0.0,0.73,0.32
